album_name,song_title,singers,star_cast,music_director,director,year,thumbnail_url,download_link
,Aakatayi,Uma Neha,,,,,https://sensongsmp3.live/wp-content/uploads/2017/02/aakathayi-songs-sensongsmp3.jpg,
,Anaghaa Anaghaa,Ramajogayya Sastry,,,,,https://sensongsmp3.live/wp-content/uploads/2017/02/aakathayi-songs-sensongsmp3.jpg,
,Anaghaa Anaghaa 2,Sri Krishna,,,,,https://sensongsmp3.live/wp-content/uploads/2017/02/aakathayi-songs-sensongsmp3.jpg,
,Go Lets Go,"Deepu, Sweekar Agasthi, Karuna",,,,,https://sensongsmp3.live/wp-content/uploads/2017/02/aakathayi-songs-sensongsmp3.jpg,
,Niluvetthuga Nene,Ramya Behara,,,,,https://sensongsmp3.live/wp-content/uploads/2017/02/aakathayi-songs-sensongsmp3.jpg,
,Pranam Paravana,"Anurag Kulkarni, Sahithi Chaganti",,,,,https://sensongsmp3.live/wp-content/uploads/2017/02/aakathayi-songs-sensongsmp3.jpg,
,Virigina Aakasanni,Sweekar Agasthi,,,,,https://sensongsmp3.live/wp-content/uploads/2017/02/aakathayi-songs-sensongsmp3.jpg,
