album_name,song_title,singers,star_cast,music_director,director,year,thumbnail_url,download_link
Aakatayi,Aakatayi,Uma Neha,"Ashish Raj, Rukshar Mir",Mani Sharma,Rom Bhimana,2017,https://sensongsmp3.live/wp-content/uploads/2017/02/aakathayi-songs-sensongsmp3.jpg,
Aakatayi,Anaghaa Anaghaa,Ramajogayya Sastry,"Ashish Raj, Rukshar Mir",Mani Sharma,Rom Bhimana,2017,https://sensongsmp3.live/wp-content/uploads/2017/02/aakathayi-songs-sensongsmp3.jpg,
Aakatayi,Anaghaa Anaghaa 2,Sri Krishna,"Ashish Raj, Rukshar Mir",Mani Sharma,Rom Bhimana,2017,https://sensongsmp3.live/wp-content/uploads/2017/02/aakathayi-songs-sensongsmp3.jpg,
Aakatayi,Go Lets Go,"Deepu, Sweekar Agasthi, Karuna","Ashish Raj, Rukshar Mir",Mani Sharma,Rom Bhimana,2017,https://sensongsmp3.live/wp-content/uploads/2017/02/aakathayi-songs-sensongsmp3.jpg,
Aakatayi,Niluvetthuga Nene,Ramya Behara,"Ashish Raj, Rukshar Mir",Mani Sharma,Rom Bhimana,2017,https://sensongsmp3.live/wp-content/uploads/2017/02/aakathayi-songs-sensongsmp3.jpg,
Aakatayi,Pranam Paravana,"Anurag Kulkarni, Sahithi Chaganti","Ashish Raj, Rukshar Mir",Mani Sharma,Rom Bhimana,2017,https://sensongsmp3.live/wp-content/uploads/2017/02/aakathayi-songs-sensongsmp3.jpg,
Aakatayi,Virigina Aakasanni,Sweekar Agasthi,"Ashish Raj, Rukshar Mir",Mani Sharma,Rom Bhimana,2017,https://sensongsmp3.live/wp-content/uploads/2017/02/aakathayi-songs-sensongsmp3.jpg,
