album_name,song_title,singers,star_cast,music_director,director,year,thumbnail_url,download_link
Araku Road lo,Banginapalli Shapu.Mp3,Sravana Bhargavi,"Sri Sai Shankar, Nikisha Patel","Raahul Raj, Waasudev",Vasudev,,https://sensongsmp3.live/wp-content/uploads/2016/07/araku-road-lo-sensongsmp3.jpg,https://sentunes.online/mp3/Telugu%20Mp3/old/Telugu%202016/117%20-%20Araku%20Road%20Lo%20(2016)/Banginapalli%20Shapu%20-%20SenSongsmp3.Co.mp3
Araku Road lo,Banginapalli Shapu.Mp3,Sravana Bhargavi,"Sri Sai Shankar, Nikisha Patel","Raahul Raj, Waasudev",Vasudev,,https://sensongsmp3.live/wp-content/uploads/2016/07/araku-road-lo-sensongsmp3.jpg,https://sentunes.online/mp3/Telugu%20Mp3/old/Telugu%202016/117%20-%20Araku%20Road%20Lo%20(2016)/Banginapalli%20Shapu%20-%20SenSongsmp3.Co.mp3
Araku Road lo,Geddam Thella.Mp3,Jessi Gist,"Sri Sai Shankar, Nikisha Patel","Raahul Raj, Waasudev",Vasudev,,https://sensongsmp3.live/wp-content/uploads/2016/07/araku-road-lo-sensongsmp3.jpg,https://sentunes.online/mp3/Telugu%20Mp3/old/Telugu%202016/117%20-%20Araku%20Road%20Lo%20(2016)/Geddam%20Thella%20Badipotundi%20-%20SenSongsmp3.Co.mp3
Araku Road lo,Geddam Thella.Mp3,Jessi Gist,"Sri Sai Shankar, Nikisha Patel","Raahul Raj, Waasudev",Vasudev,,https://sensongsmp3.live/wp-content/uploads/2016/07/araku-road-lo-sensongsmp3.jpg,https://sentunes.online/mp3/Telugu%20Mp3/old/Telugu%202016/117%20-%20Araku%20Road%20Lo%20(2016)/Geddam%20Thella%20Badipotundi%20-%20SenSongsmp3.Co.mp3
Araku Road lo,Tholi Tholi Alajadi.Mp3,Dhinakar,"Sri Sai Shankar, Nikisha Patel","Raahul Raj, Waasudev",Vasudev,,https://sensongsmp3.live/wp-content/uploads/2016/07/araku-road-lo-sensongsmp3.jpg,https://sentunes.online/mp3/Telugu%20Mp3/old/Telugu%202016/117%20-%20Araku%20Road%20Lo%20(2016)/Tholi%20Tholi%20Alajadila%20-%20SenSongsmp3.Co.mp3
Araku Road lo,Tholi Tholi Alajadi.Mp3,Dhinakar,"Sri Sai Shankar, Nikisha Patel","Raahul Raj, Waasudev",Vasudev,,https://sensongsmp3.live/wp-content/uploads/2016/07/araku-road-lo-sensongsmp3.jpg,https://sentunes.online/mp3/Telugu%20Mp3/old/Telugu%202016/117%20-%20Araku%20Road%20Lo%20(2016)/Tholi%20Tholi%20Alajadila%20-%20SenSongsmp3.Co.mp3
Araku Road lo,Yemo Yemaindho.Mp3,Vijay Yesudas,"Sri Sai Shankar, Nikisha Patel","Raahul Raj, Waasudev",Vasudev,,https://sensongsmp3.live/wp-content/uploads/2016/07/araku-road-lo-sensongsmp3.jpg,https://sentunes.online/mp3/Telugu%20Mp3/old/Telugu%202016/117%20-%20Araku%20Road%20Lo%20(2016)/Yemo%20Yemaindho%20-%20SenSongsmp3.Co.mp3
Araku Road lo,Yemo Yemaindho.Mp3,Vijay Yesudas,"Sri Sai Shankar, Nikisha Patel","Raahul Raj, Waasudev",Vasudev,,https://sensongsmp3.live/wp-content/uploads/2016/07/araku-road-lo-sensongsmp3.jpg,https://sentunes.online/mp3/Telugu%20Mp3/old/Telugu%202016/117%20-%20Araku%20Road%20Lo%20(2016)/Yemo%20Yemaindho%20-%20SenSongsmp3.Co.mp3
